facility_id,city,state,year,industry_type,co2_emissions,unit_methane_emissions,unit_nitrous_oxide_emissions
1000112,BROOKLYN,NY,2021,"C,D",23434.5,11.0,11.92
1013701,Plains,TX,2021,"C,UU,W",16015.2,7.5,8.94
1003742,WESTCHESTER,IL,2021,"C,HH",319.2,0.25,0.298
1013621,Hobbs,NM,2021,"C,W",37418.7,17.75,21.158
1003188,BROWNWOOD,TX,2021,"C,N",28088.0,13.25,15.794
1005043,MAPLEWOOD,MN,2021,C,82686.6,42.5,58.408
1003739,GUIN,AL,2021,"C,N",30410.1,14.25,16.986
1007698,WAUSAU,WI,2021,C,41177.0,19.5,23.244
1004206,DECATUR,AL,2021,"C,L,OO",43951.6,20.75,25.032
1006665,CORDOVA,IL,2021,"C,L,OO",0.0,0.0,0.0
1004836,Cottage Grove,MN,2021,"C,L,N,OO",19578.6,14.25,37.846
1003408,LITTLE ROCK,AR,2021,C,32621.6,15.25,18.178
1004914,HUTCHINSON,MN,2021,C,23866.0,11.25,13.41
1004804,NEVADA,MO,2021,C,33971.7,16.0,19.072
1013282,Moncure,NC,2021,C,29309.1,13.75,16.39
1001106,HOLLAND,MI,2021,"C,D",2144.7,1.0,0.0
1012037,Gillette,WY,2021,"C,W",56190.3,26.5,31.588
1000766,NEW YORK,NY,2021,C,869.4,0.5,0.596
1000767,NEW YORK,NY,2021,C,47721.3,22.75,29.8
1001033,MOUNT VERNON,IN,2021,D,1441099.5,4257.75,7455.96
1013527,Pelkie,MI,2021,C,30.5,0.0,0.0
1000378,Casa Grande ,AZ,2021,C,24442.8,11.5,13.708
1003205,ALTAVISTA,VA,2021,C,29529.5,14.0,16.688
1002983,ABBOTT PARK,IL,2021,C,56419.6,26.5,31.588
1007514,BARCELONETA,PR,2021,C,28972.5,15.5,22.648
1004511,TARRANT,AL,2021,"C,Q",47167.4,17.25,28.31
1005353,MINA,SD,2021,C,190690.9,89.75,106.982
1010630,Aberdeen,SD,2021,"C,D",15078.3,7.0,8.94
1006971,APG,MD,2021,C,98337.5,56.0,87.91
1002627,ST ANSGAR &#40;MONA&#41;,IA,2021,"C,II",147324.5,70.25,84.632
1002685,Offshore,TX,2021,"C,W",221761.0,107.0,133.802
1001347,EUNICE,LA,2021,D,532105.6,246.75,298.0
1008234,Accident,MD,2021,"C,W",8.3,0.0,0.0
1004761,STANLEY,WI,2021,"C,PP",75241.0,35.5,42.316
1000125,ACKERMAN,MS,2021,"C,D",611222.1,283.5,342.7
1011325,Denton,TX,2021,C,20847.9,9.75,11.622
1012051,Malakoff,TX,2021,C,22856.2,10.75,12.814
1005601,ELGIN,TX,2021,C,24436.3,11.5,13.708
1005046,QUANAH,TX,2021,C,36973.2,17.5,20.86
1003752,Coushatta,LA,2021,C,816.5,0.5,0.596
1002731,ADA,MI,2021,C,104492.1,49.25,58.706
1003446,Boise,ID,2021,"C,HH",8.1,0.0,0.0
1000603,Addis,LA,2021,"C,X",0.0,0.0,0.0
1003422,LENA,IL,2021,C,90295.0,42.5,50.66
1002154,MANKATO,MN,2021,C,20415.3,9.5,11.324
1006047,CEDAR RAPIDS,IA,2021,"C,II",912616.5,2364.5,4097.5
